"term","type","iri","label","definition","dpvtype","subclassof","hasbroader","scopenote","created","modified","vocab","namespace"
"ConfidentialityAgreement","class","https://w3id.org/dpv#ConfidentialityAgreement","Confidentiality Agreement","Agreements that enforce confidentiality for e.g. to protect business, professional, or company secrets","https://w3id.org/dpv#LegalMeasure","","https://w3id.org/dpv#LegalAgreement","","2022-02-09","2024-08-27","dpv","https://w3id.org/dpv"
"ContractualTerms","class","https://w3id.org/dpv#ContractualTerms","Contractual Terms","Contractual terms governing data handling within or with an entity","https://w3id.org/dpv#LegalMeasure","","https://w3id.org/dpv#LegalMeasure","","2019-04-05","2024-08-27","dpv","https://w3id.org/dpv"
"DataHandlingClause","class","https://w3id.org/dpv#DataHandlingClause","Data Handling Clause","Conctractual clauses governing handling of data within or by an entity","https://w3id.org/dpv#LegalMeasure","","https://w3id.org/dpv#ContractualTerms","","2024-08-27","","dpv","https://w3id.org/dpv"
"LegalAgreement","class","https://w3id.org/dpv#LegalAgreement","Legal Agreement","A legally binding agreement","https://w3id.org/dpv#LegalMeasure","","https://w3id.org/dpv#LegalMeasure","","2019-04-05","2024-08-27","dpv","https://w3id.org/dpv"
"NDA","class","https://w3id.org/dpv#NDA","Non-Disclosure Agreement (NDA)","Non-disclosure Agreements e.g. preserving confidentiality of information","https://w3id.org/dpv#LegalMeasure","","https://w3id.org/dpv#LegalAgreement","","2019-04-05","2024-08-27","dpv","https://w3id.org/dpv"
"StatisticalConfidentialityAgreement","class","https://w3id.org/dpv#StatisticalConfidentialityAgreement","Statistical Confidentiality Agreement","An agreement outlining conditions, criteria, obligations, responsibilities, and specifics for classification and management of 'confidential data' based on a statistical framework","https://w3id.org/dpv#LegalMeasure","","https://w3id.org/dpv#LegalAgreement","","2022-02-09","2024-08-27","dpv","https://w3id.org/dpv"
