"term","type","iri","label","definition","dpvtype","subclassof","hasbroader","scopenote","created","modified","vocab","namespace"
"DPA-SG","class","https://w3id.org/dpv/legal/sg#DPA-SG","Personal Data Protection Commission (PDPC)","","https://w3id.org/dpv#DataProtectionAuthority","","https://w3id.org/dpv#DataProtectionAuthority;https://w3id.org/dpv#Law","","2025-03-19","","legal-sg","https://w3id.org/dpv/legal/sg"
"law-PDPA","class","https://w3id.org/dpv/legal/sg#law-PDPA","Personal Data Protection Act 2012 (PDPA)","","https://w3id.org/dpv#Law","","https://w3id.org/dpv#Law","","2025-03-19","","legal-sg","https://w3id.org/dpv/legal/sg"
