term,type,iri,label,definition,dpvtype,subclassof,hasbroader,scopenote,created,modified,vocab,namespace
hasConsentControl,property,https://w3id.org/dpv#hasConsentControl,has consent control,Specific a control associated with consent,,,,,2024-05-11,,dpv,https://w3id.org/dpv
hasConsentStatus,property,https://w3id.org/dpv#hasConsentStatus,has consent status,Specifies the state or status of consent,,,,,2022-06-21,,dpv,https://w3id.org/dpv
