"Term Forms of Surveillance with technologies","Label Forms of Surveillance with technologies","Description ","ParentTerm ","ParentType ","Value ","RelatedTerms ","Relation ","Comment ","Source ","Created ","Modified ","Status ","Contributors ","Resolution ","","","","","","","","","","","","","","",""
"OvertSurveillanceTechnology","Overt Surveillance Technology","Surveillance that is overt i.e. visible or apparent or explicit","dpv-tech:SurveillanceTechnology","sc","","","","For example, a CCTV with a notice","","2022-06-15","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/15-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"CovertSurveillanceTechnology","Covert SurveillanceTechnology","Surveillance that is covert i.e. invisible or non-apparent or implicit","dpv-tech:SurveillanceTechnology","sc","","","","For example, a web resource that performs tracking in the background","","2022-06-15","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/15-dpvcg-minutes.html","","","","","","","","","","","","","","",""
