"Term Specific instances of technologies","Label Specific instances of technologies","Description ","ParentTerm ","ParentType ","Value ","RelatedTerms ","Relation ","Comment ","Source ","Created ","Modified ","Status ","Contributors ","Resolution ","","","","","","","","","","","","","","",""
"Database","Database","A database, database management system (DBMS), or application database","dpv-tech:DataStorageTechnology","sc","","","","","","2022-06-15","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/15-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"Cookie","Cookie","A HTTP or web or internet cookie","dpv-tech:LocalStorage","sc","","","","","","2022-06-15","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/15-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"FileSystem","File System","A data storage and retrieval interface provided by an operating system","dpv-tech:DataStorageTechnology","sc","","","","","","2022-06-15","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/15-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"SmartphoneApplication","Smartphone Application","A computing or digital program on a smartphone device","dpv-tech:Application","sc","","","","","","2022-06-15","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/15-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"PersonalInformationManagementSystem","Personal Information Management System","A PIMS is a system that helps to give individuals more control over their personal data by managing their personal data in secure, on-premises or online storage systems and sharing it when and with whomever they choose","dpv-tech:DataManagementTechnology","sc","","","","","","2022-06-15","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/15-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"IdentityManagementTechnology","Identity Management Technology","Technologies providing identity provision, verification, management, and governance","dpv-tech:IdentityTechnology,dpv-tech:ManagementTechnology","sc","","","","","","2022-06-15","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/15-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"IdentityWallet","Identity Wallet","product and service that allows the user to store identity data, credentials and attributes linked to her/his identity, to provide them to relying parties on request and to use them for authentication, online and offline, and to create qualified electronic signatures and seals ","dpv-tech:IdentityManagementTechnology,dpv-tech:DataStorageTechnology","sc","","","","","","2022-06-15","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/15-dpvcg-minutes.html","","","","","","","","","","","","","","",""
