"Term","Label","Description","domain","range","ParentProperty","RelatedTerms","Relation","Comment","Source","Created","Modified","Status","Contributors","Resolution","","","","","","","","","","","","",""
"hasDataReuseAssistant","has data reuse assistant","Indicates association with competent body designated by the Member State to assist Public Bodies in activities related to data reuse","","dpv-dga:DataReuseAssistant","dpv:hasEntity","","","DGA 7","","","","accepted","Beatriz Esteves, Harshvardhan J. Pandit","","","","","","","","","","","","","",""
"hasDataUser","has data user","Indicates association with data user","","dpv-dga:DataUser","dpv:hasEntity","","","","","","","accepted","Beatriz Esteves, Harshvardhan J. Pandit","","","","","","","","","","","","","",""
"hasDataHolder","has data holder","Indicates association with data holder","","dpv-dga:DataHolder","dpv:hasEntity","","","","","","","accepted","Beatriz Esteves, Harshvardhan J. Pandit","","","","","","","","","","","","","",""
"hasDAO","has data altruism organisation","Indicates association with data altruism organisation","","dpv-dga:DataAltruismOrganisation","dpv:hasEntity","","","","","","","accepted","Beatriz Esteves, Harshvardhan J. Pandit","","","","","","","","","","","","","",""
"hasDISP","has data intermediation service provider","Indicates association with data intermediation service provider","","dpv-dga:DISP","dpv:hasEntity","","","","","","","accepted","Beatriz Esteves, Harshvardhan J. Pandit","","","","","","","","","","","","","",""
