"Term","Label","Description","ParentTerm","ParentType","Value","RelatedTerms","Relation","Comment","Source","Created","Modified","Status","Contributors","Resolution","","","","","","","","","","","","","","",""
"Scale","Scale","A measurement along some dimension","dpv:ProcessingContext","sc","","","","Scales are subjective concepts that need to be defined and interpreted within the context of their application. For example, what would be small within one context could be large within another.","","2022-06-15","","accepted","Harshvardhan J. Pandit, Georg P Krog, Rana Saniei","https://www.w3.org/2022/06/15-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"DataVolume","Data Volume","Volume or Scale of Data","dpv:Scale","sc","","","","","","2022-06-15","","accepted","Harshvardhan J. Pandit, Georg P Krog, Rana Saniei","https://www.w3.org/2022/06/15-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"HugeDataVolume","HugeDataVolume","Data volume that is considered huge or more than large within the context","dpv:DataVolume","a","","","","","","2022-06-15","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/15-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"LargeDataVolume","LargeDataVolume","Data volume that is considered large within the context","dpv:DataVolume","a","","","","","","2022-06-15","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/15-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"MediumDataVolume","MediumDataVolume","Data volume that is considered medium i.e. neither large nor small within the context","dpv:DataVolume","a","","","","","","2022-06-15","","accepted","Harshvardhan J. Pandit, Georg P Krog, Paul Ryan","https://www.w3.org/2022/06/15-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"SmallDataVolume","SmallDataVolume","Data volume that is considered small or limited within the context","dpv:DataVolume","a","","","","","","2022-06-15","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/15-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"SporadicDataVolume","SporadicDataVolume","Data volume that is considered sporadic or sparse within the context","dpv:DataVolume","a","","","","","","2022-06-15","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/15-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"SingularDataVolume","SingularDataVolume","Data volume that is considered singular i.e. a specific instance or single item","dpv:DataVolume","a","","","","","","2022-06-15","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/15-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"DataSubjectScale","Data Subject Scale","Scale of Data Subject(s)","dpv:Scale","sc","","","","","","2022-06-15","","accepted","Harshvardhan J. Pandit, Georg P Krog, Rana Saniei","https://www.w3.org/2022/06/15-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"HugeScaleOfDataSubjects","HugeScaleOfDataSubjects","Scale of data subjects considered huge or more than large within the context","dpv:DataSubjectScale","a","","","","","","2022-06-15","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/15-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"LargeScaleOfDataSubjects","LargeScaleOfDataSubjects","Scale of data subjects considered large within the context","dpv:DataSubjectScale","a","","","","","","2022-06-15","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/15-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"MediumScaleOfDataSubjects","MediumScaleOfDataSubjects","Scale of data subjects considered medium i.e. neither large nor small within the context","dpv:DataSubjectScale","a","","","","","","2022-06-15","","accepted","Harshvardhan J. Pandit, Georg P Krog, Paul Ryan","https://www.w3.org/2022/06/15-dpvcg-minutes.html","","","","","","","","","","","","","","",""
