"Term","Label","Description","domain","range","ParentProperty","RelatedTerms","Relation","Comment","Source","CreationDate","Modified","Status","Contributors","Resolution","","","","","","","","","","","","",""
"hasProvisionMethod","has Provision Method","Specifies the provision or usage method of technology","dpv:Technology","dpv-tech:TechnologyProvisionMethod","dpv:Relation","","","","","2022-07-02","","changed","Harshvardhan J. Pandit","https://www.w3.org/2022/06/15-dpvcg-minutes.html","","","","","","","","","","","","",""
"hasProvider","has Provider","Indicates technology provider","dpv:Technology","dpv-tech:TechnologyProvider","dpv:Relation","","","","","2022-07-02","","changed","Harshvardhan J. Pandit","https://www.w3.org/2022/06/15-dpvcg-minutes.html","","","","","","","","","","","","",""
"hasDeveloper","has Developer","Indicates technology developer","dpv:Technology","dpv-tech:TechnologyDeveloper","dpv:Relation","","","","","2022-07-02","","changed","Harshvardhan J. Pandit","https://www.w3.org/2022/06/15-dpvcg-minutes.html","","","","","","","","","","","","",""
"hasUser","has User","Indicates technology user","dpv:Technology","dpv-tech:TechnologyUser","dpv:Relation","","","","","2022-07-02","","changed","Harshvardhan J. Pandit","https://www.w3.org/2022/06/15-dpvcg-minutes.html","","","","","","","","","","","","",""
"hasSubject","has Subject","Indicates technology subject","dpv:Technology","dpv-tech:TechnologySubject","dpv:Relation","","","","","2022-07-02","","changed","Harshvardhan J. Pandit","https://www.w3.org/2022/06/15-dpvcg-minutes.html","","","","","","","","","","","","",""
"hasCommunicationMechanism","has Communication Mechanism","Indicates communication mechanisms used or provided by technology","dpv:Technology","dpv-tech:CommunicationMechanism","dpv:Relation","","","","","2022-07-02","","changed","Harshvardhan J. Pandit","https://www.w3.org/2022/06/15-dpvcg-minutes.html","","","","","","","","","","","","",""
"hasTRL","has TRL","Indicates technology maturity level","dpv:Technology","dpv-tech:TechnologyReadinessLevel","dpv:Relation","","","","","2022-07-02","","changed","Harshvardhan J. Pandit","https://www.w3.org/2022/06/15-dpvcg-minutes.html","","","","","","","","","","","","",""
" ","","","","","","","","","","","","","","","","","","","","","","","","","","",""
