"Term Concepts in DPV this extends dpv:DataSubjectRight ","Label ","Description Data Subject Right ","ParentTerm dpv:Concept ","ParentType ","Value ","RelatedTerms ","Relation ","Comment ","Source ","Created ","Modified ","Status ","Contributors ","Resolution ","","","","","","","","","","","","","","",""
"A15-FreedomToChooseOccupationEngageWork","A15 Freedom To Choose Occupation Engage Work","","rights-eu:T2-Freedoms,rights-eu:EUFundamentalRights","a","","","","","(Charter of Fundamental Rights of the European Union,http://data.europa.eu/eli/treaty/char_2012/oj)","2022-07-09","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/22-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"A16-FreedomToConductBusiness","A16 Freedom To Conduct Business","","rights-eu:T2-Freedoms,rights-eu:EUFundamentalRights","a","","","","","(Charter of Fundamental Rights of the European Union,http://data.europa.eu/eli/treaty/char_2012/oj)","2022-07-10","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/22-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"A17-RightToProperty","A17 Right To Property","","rights-eu:T2-Freedoms,rights-eu:EUFundamentalRights","a","","","","","(Charter of Fundamental Rights of the European Union,http://data.europa.eu/eli/treaty/char_2012/oj)","2022-07-11","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/22-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"A18-RightToAsylum","A18 Right To Asylum","","rights-eu:T2-Freedoms,rights-eu:EUFundamentalRights","a","","","","","(Charter of Fundamental Rights of the European Union,http://data.europa.eu/eli/treaty/char_2012/oj)","2022-07-12","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/22-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"A19-ProtectionRemovalExpulsionExtradition","A19 Protection Removal Expulsion Extradition","","rights-eu:T2-Freedoms,rights-eu:EUFundamentalRights","a","","","","","(Charter of Fundamental Rights of the European Union,http://data.europa.eu/eli/treaty/char_2012/oj)","2022-07-13","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/22-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"T3-Equality","T3 Equality","","rights-eu:EUFundamentalRights","sc","","","","","(Charter of Fundamental Rights of the European Union,http://data.europa.eu/eli/treaty/char_2012/oj)","2022-07-14","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/22-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"A20-EqualityBeforeLaw","A20 Equality Before Law","","rights-eu:T3-Equality,rights-eu:EUFundamentalRights","a","","","","","(Charter of Fundamental Rights of the European Union,http://data.europa.eu/eli/treaty/char_2012/oj)","2022-07-15","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/22-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"A21-NonDiscrimination","A21 Non Discrimination","","rights-eu:T3-Equality,rights-eu:EUFundamentalRights","a","","","","","(Charter of Fundamental Rights of the European Union,http://data.europa.eu/eli/treaty/char_2012/oj)","2022-07-16","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/22-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"A22-CulturalReligiousLinguisticDiversity","A22 Cultural Religious Linguistic Diversity","","rights-eu:T3-Equality,rights-eu:EUFundamentalRights","a","","","","","(Charter of Fundamental Rights of the European Union,http://data.europa.eu/eli/treaty/char_2012/oj)","2022-07-17","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/22-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"A23-EqualityBetweenWomenMen","A23 Equality Between Women Men","","rights-eu:T3-Equality,rights-eu:EUFundamentalRights","a","","","","","(Charter of Fundamental Rights of the European Union,http://data.europa.eu/eli/treaty/char_2012/oj)","2022-07-18","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/22-dpvcg-minutes.html","","","","","","","","","","","","","","",""
