"Term","Label","Description","ParentTerm","ParentType","Value","RelatedTerms","Relation","Comment","Source","Created","Modified","Status","Contributors","Resolution","","","","","","","","","","","","","","",""
"k-anonymity","","","","","","","","","(ENISA Data Protection Engineering,https://www.enisa.europa.eu/publications/data-protection-engineering)","","","","","","","","","","","","","","","","","","","",""
"t-closeness","","","","","","","","","(ENISA Data Protection Engineering,https://www.enisa.europa.eu/publications/data-protection-engineering)","","","","","","","","","","","","","","","","","","","",""
"l-diversity","","","","","","","","","(ENISA Data Protection Engineering,https://www.enisa.europa.eu/publications/data-protection-engineering)","","","","","","","","","","","","","","","","","","","",""
