"Term","Label","Description","domain","range","ParentProperty","RelatedTerms","Relation","Comment","Source","CreationDate","Modified","Status","Contributors","Resolution","","","","","","","","","","","","",""
"hasProvider","has provider","Indicates technology provider","dpv:Technology","dpv-tech:TechnologyProvider","dpv-tech:hasTechnologyActor","","","","","2022-07-02","2022-10-21","changed","Harshvardhan J. Pandit","https://www.w3.org/2022/06/15-dpvcg-minutes.html","","","","","","","","","","","","",""
"hasDeveloper","has developer","Indicates technology developer","dpv:Technology","dpv-tech:TechnologyDeveloper","dpv-tech:hasTechnologyActor","","","","","2022-07-02","2022-10-21","changed","Harshvardhan J. Pandit","https://www.w3.org/2022/06/15-dpvcg-minutes.html","","","","","","","","","","","","",""
"hasUser","has user","Indicates technology user","dpv:Technology","dpv-tech:TechnologyUser","dpv-tech:hasTechnologyActor","","","","","2022-07-02","2022-10-21","changed","Harshvardhan J. Pandit","https://www.w3.org/2022/06/15-dpvcg-minutes.html","","","","","","","","","","","","",""
"hasSubject","has subject","Indicates technology subject","dpv:Technology","dpv-tech:TechnologySubject","dpv-tech:hasTechnologyActor","","","","","2022-07-02","2022-10-21","changed","Harshvardhan J. Pandit","https://www.w3.org/2022/06/15-dpvcg-minutes.html","","","","","","","","","","","","",""
" ","","","","","","","","","","","","","","","","","","","","","","","","","","",""
