"Term","Label","Description","domain","range","ParentProperty","RelatedTerms","Relation","Comment","Source","Created","Modified","Status","Contributors","Resolution","","","","","","","","","","","","",""
"hasDataSource","has data source","Indicates the source or origin of data being processed","dpv:Concept","dpv:DataSource","dpv:Relation","","","","","2020-11-04","","accepted","Georg P. Krog, Paul Ryan, Harshvardhan J. Pandit","https://www.w3.org/community/dpvcg/wiki/Workshop20201104","","","","","","","","","","","","",""
"hasStorageCondition","has storage condition","Indicates information about storage condition","dpv:Concept","dpv:StorageCondition","dpv:Relation","","","","(SPECIAL Project,https://specialprivacy.ercim.eu/)","2022-08-13","","changed","Axel Polleres, Rob Brennan, Harshvardhan J. Pandit, Mark Lizar","https://www.w3.org/2019/04/05-dpvcg-minutes.html","","","","","","","","","","","","",""
"hasAlgorithmicLogic","has algorithmic logic","Indicates the logic used in processing such as for automated decision making","dpv:Concept","dpv:AlgorithmicLogic","dpv:Relation","","","","","2020-11-04","2022-06-15","changed","Georg P. Krog, Paul Ryan, Harshvardhan J. Pandit","https://www.w3.org/2022/06/15-dpvcg-minutes.html","","","","","","","","","","","","",""
"hasProcessingAutomation","has processing automation","Indicates the use or extent of automation associated with processing","dpv:Concept","dpv:AutomationOfProcessing","dpv:Relation","","","","","2022-08-13","","accepted","Harshvardhan J. Pandit","","","","","","","","","","","","","",""
"hasHumanInvolvement","has human involvement","Indicates Involvement of humans in processing such as within automated decision making process","dpv:Concept","dpv:HumanInvolvement","dpv:Relation","","","Human involvement is also relevant to 'human in the loop' ","","2020-11-04","","accepted","Georg P. Krog, Paul Ryan, Harshvardhan J. Pandit","https://www.w3.org/community/dpvcg/wiki/Workshop20201104","","","","","","","","","","","","",""
