"Term","Label","Description","domain","range","ParentProperty","RelatedTerms","Relation","Comment","Source","Created","Modified","Status","Contributors","Resolution","","","","","","","","","","","","",""
"hasRule","has rule","Specifying applicability or inclusion of a rule within specified context","dpv:Context","dpv:Rule","dpv:Relation","","","","","","","proposed","Harshvardhan J. Pandit, Georg P Krog, Beatriz Esteves, Paul Ryan","","","","","","","","","","","","","",""
"hasPermission","has permission","Specifying applicability or inclusion of a permission rule within specified context","dpv:Context","dpv:Permission","dpv:Rule","","","","","","","proposed","Harshvardhan J. Pandit, Georg P Krog, Beatriz Esteves, Paul Ryan","","","","","","","","","","","","","",""
"hasProhibition","has prohibition","Specifying applicability or inclusion of a prohibition rule within specified context","dpv:Context","dpv:Prohibition","dpv:Rule","","","","","","","proposed","Harshvardhan J. Pandit, Georg P Krog, Beatriz Esteves, Paul Ryan","","","","","","","","","","","","","",""
"hasObligation","has obligation","Specifying applicability or inclusion of an obligation rule within specified context","dpv:Context","dpv:Obligation","dpv:Rule","","","","","","","proposed","Harshvardhan J. Pandit, Georg P Krog, Beatriz Esteves, Paul Ryan","","","","","","","","","","","","","",""
