"Term How technology is provided / used TechnologyProvisionMethod","Label How technology is provided / used ","Description ","ParentTerm ","ParentType ","Value ","RelatedTerms ","Relation ","Comment ","Source ","Created ","Modified ","Status ","Contributors ","Resolution ","","","","","","","","","","","","","","",""
"FixedUse","FixedUse","Technology that can be used a fixed numner of times","dpv-tech:TechnologyProvisionMethod","a","","","","","","2022-06-15","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/15-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"Subscription","Subscription","Technology that is provided or used as a periodic subscription ","dpv-tech:TechnologyProvisionMethod","a","","","","","","2022-06-15","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/15-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"Product","Product","Technology that is provided as a product","dpv-tech:TechnologyProvisionMethod","a","","","","","","2022-06-15","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/15-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"Goods","Goods","Technology provided or used as goods","dpv-tech:TechnologyProvisionMethod","a","","","","","","2022-06-15","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/15-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"Service","Service","Technology provided or used as service(s)","dpv-tech:TechnologyProvisionMethod","a","","","","Removed plural suffix for consistency in terms","","2022-06-15","","changed","Harshvardhan J. Pandit","https://www.w3.org/2022/06/15-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"Algorithmic","Algorithmic","Technology provided as an algorithm or method","dpv-tech:TechnologyProvisionMethod","a","","","","","","2022-06-15","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/15-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"System","System","Technology provided as a system","dpv-tech:TechnologyProvisionMethod","a","","","","","","2022-06-15","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/15-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"Component","Component","Technology provided as a component","dpv-tech:TechnologyProvisionMethod","a","","","","","","2022-06-15","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/15-dpvcg-minutes.html","","","","","","","","","","","","","","",""
