"Term","Label","Description","domain","range","ParentProperty","RelatedTerms","Relation","Comment","Source","CreationDate","Modified","Status","Contributors","Resolution","","","","","","","","","","","","",""
"hasRisk","has risk","Indicates applicability of Risk for this concept","dpv:Concept","dpv:Risk","dpv:Relation","","","","","2020-11-18","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2020/11/18-dpvcg-minutes.html","","","","","","","","","","","","",""
"mitigatesRisk","mitigates risk","Indicates risks mitigated by this concept","dpv:RiskMitigationMeasure","dpv:Risk","dpv:Relation","","","","","2020-11-04","","accepted","Harshvardhan J. Pandit","https://www.w3.org/community/dpvcg/wiki/Workshop20201104","","","","","","","","","","","","",""
"isMitigatedByMeasure","is mitigated by measure","Indicate a risk is mitigated by specified measure","dpv:Risk","dpv:RiskMitigationMeasure","dpv:hasTechnicalOrganisationalMeasure","","","","","2022-02-09","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/02/09-dpvcg-minutes.html","","","","","","","","","","","","",""
"hasConsequence","has consequence","Indicates consenquence(s) possible or arising from specified concept","dpv:Concept","dpv:Consequence","dpv:Relation","","","Removed plural suffix for consistency","","2020-11-04","2021-09-21","accepted","Harshvardhan J. Pandit, Julian Flake, Georg P Krog, Fajar Ekaputra, Beatriz Esteves","https://www.w3.org/community/dpvcg/wiki/Workshop20201104","","","","","","","","","","","","",""
"hasImpact","has impact","Indicates impact(s) possible or arising as consequences from specified concept","dpv:Concept","dpv:Impact","dpv:hasConsequence","","","","","2022-05-18","","accepted","Harshvardhan J. Pandit, Julian Flake, Georg P Krog, Fajar Ekaputra, Beatriz Esteves","https://www.w3.org/2022/03/30-dpvcg-minutes.html","","","","","","","","","","","","",""
"hasImpactOn","has impact on","Indicates the thing (e.g. plan, process, or entity) affected by an impact","dpv:Impact","dpv:Concept","dpv:hasConsequenceOn","","","","","2022-05-18","","accepted","Harshvardhan J. Pandit, Julian Flake, Georg P Krog, Fajar Ekaputra, Beatriz Esteves","https://www.w3.org/2022/03/30-dpvcg-minutes.html","","","","","","","","","","","","",""
"hasConsequenceOn","has consequence on (TBD)","Indicates the thing (e.g. plan, process, or entity) affected by a consequence","dpv:Consequence","dpv:Concept","dpv:Relation","","","","","","","proposed","","","","","","","","","","","","","","",""
