Term,Label,Type,Jurisdictions,Webpage,Laws,Start,End,Created,Modified,Status,Contributors,Resolution,,,,,,,,,,,,,,
Laws,,,,,,,,,,,,,,,,,,,,,,,,,,
law-PIPA,Personal Information Protection Act (PIPA),dpv:Law,loc:KR,https://www.law.go.kr/%EC%98%81%EB%AC%B8%EB%B2%95%EB%A0%B9/%EA%B0%9C%EC%9D%B8%EC%A0%95%EB%B3%B4%20%EB%B3%B4%ED%98%B8%EB%B2%95/%2819234%2C20230314%29,,2011-09-30,,2025-03-19,,accepted,"Arthit Suriyawongkul, Jompon Pitaksantayothin",,,,,,,,,,,,,,,
law-CIA,Credit Information Use and Protection Act (CIA),dpv:Law,loc:KR,https://www.law.go.kr/%EC%98%81%EB%AC%B8%EB%B2%95%EB%A0%B9/%EC%8B%A0%EC%9A%A9%EC%A0%95%EB%B3%B4%EC%9D%98%20%EC%9D%B4%EC%9A%A9%20%EB%B0%8F%20%EB%B3%B4%ED%98%B8%EC%97%90%20%EA%B4%80%ED%95%9C%20%EB%B2%95%EB%A5%A0/%2819234%2C20230314%29,,1995-07-06,,2025-03-19,,accepted,"Arthit Suriyawongkul, Jompon Pitaksantayothin",,,,,,,,,,,,,,,
law-LIA,Act on the Protection and Use of Location Information (LIA),dpv:Law,loc:KR,https://www.law.go.kr/%EC%98%81%EB%AC%B8%EB%B2%95%EB%A0%B9/%EC%9C%84%EC%B9%98%EC%A0%95%EB%B3%B4%EC%9D%98%20%EB%B3%B4%ED%98%B8%20%EB%B0%8F%20%EC%9D%B4%EC%9A%A9%20%EB%93%B1%EC%97%90%20%EA%B4%80%ED%95%9C%20%EB%B2%95%EB%A5%A0/%2818517%2C20211019%29,,2008-02-29,,2025-03-19,,accepted,"Arthit Suriyawongkul, Jompon Pitaksantayothin",,,,,,,,,,,,,,,
Authorities,,,,,,,,,,,,,,,,,,,,,,,,,,
DPA-KR,Personal Information Protection Commission (PIPC),dpv:DataProtectionAuthority,loc:KR,https://www.pipc.go.kr/,"legal-kr:law-PIPA,legal-kr:law-CIA",,,2025-03-19,,accepted,Arthit Suriyawongkul,,,,,,,,,,,,,,,
CRA-KR,Korea Communications Commission (KCC),dpv:NationalAuthority,loc:KR,https://www.kcc.go.kr/,legal-kr:law-LIA,,,2025-03-19,,proposed,Arthit Suriyawongkul,,,,,,,,,,,,,,,
