Term,Label,Definition,ParentTerm,ParentType,Value,RelatedTerms,Relation,Usage,Source,Created,Modified,Status,Contributors,Resolution
Concepts in DPV this extends,,,,,,,,,,,,,,
dpv:DataSubjectRight,,Data Subject Right,dpv:Concept,,,,,,,,,,,

A12-FreedomOfAssemblyAssociation,A12 Freedom Of Assembly Association,,"eu-rights:T2-Freedoms,eu-rights:EUFundamentalRights",dpv:Right,,,,,"(Charter of Fundamental Rights of the European Union,http://data.europa.eu/eli/treaty/char_2012/oj)",2022-07-06,,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/06/22-dpvcg-minutes.html,,,,,,,,,,,,,,,
A13-FreedomOfArtsSciences,A13 Freedom Of Arts Sciences,,"eu-rights:T2-Freedoms,eu-rights:EUFundamentalRights",dpv:Right,,,,,"(Charter of Fundamental Rights of the European Union,http://data.europa.eu/eli/treaty/char_2012/oj)",2022-07-07,,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/06/22-dpvcg-minutes.html,,,,,,,,,,,,,,,
A14-RightToEducation,A14 Right To Education,,"eu-rights:T2-Freedoms,eu-rights:EUFundamentalRights",dpv:Right,,,,,"(Charter of Fundamental Rights of the European Union,http://data.europa.eu/eli/treaty/char_2012/oj)",2022-07-08,,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/06/22-dpvcg-minutes.html,,,,,,,,,,,,,,,
A15-FreedomToChooseOccupationEngageWork,A15 Freedom To Choose Occupation Engage Work,,"eu-rights:T2-Freedoms,eu-rights:EUFundamentalRights",dpv:Right,,,,,"(Charter of Fundamental Rights of the European Union,http://data.europa.eu/eli/treaty/char_2012/oj)",2022-07-09,,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/06/22-dpvcg-minutes.html,,,,,,,,,,,,,,,
A16-FreedomToConductBusiness,A16 Freedom To Conduct Business,,"eu-rights:T2-Freedoms,eu-rights:EUFundamentalRights",dpv:Right,,,,,"(Charter of Fundamental Rights of the European Union,http://data.europa.eu/eli/treaty/char_2012/oj)",2022-07-10,,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/06/22-dpvcg-minutes.html,,,,,,,,,,,,,,,
A17-RightToProperty,A17 Right To Property,,"eu-rights:T2-Freedoms,eu-rights:EUFundamentalRights",dpv:Right,,,,,"(Charter of Fundamental Rights of the European Union,http://data.europa.eu/eli/treaty/char_2012/oj)",2022-07-11,,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/06/22-dpvcg-minutes.html,,,,,,,,,,,,,,,
A18-RightToAsylum,A18 Right To Asylum,,"eu-rights:T2-Freedoms,eu-rights:EUFundamentalRights",dpv:Right,,,,,"(Charter of Fundamental Rights of the European Union,http://data.europa.eu/eli/treaty/char_2012/oj)",2022-07-12,,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/06/22-dpvcg-minutes.html,,,,,,,,,,,,,,,
A19-ProtectionRemovalExpulsionExtradition,A19 Protection Removal Expulsion Extradition,,"eu-rights:T2-Freedoms,eu-rights:EUFundamentalRights",dpv:Right,,,,,"(Charter of Fundamental Rights of the European Union,http://data.europa.eu/eli/treaty/char_2012/oj)",2022-07-13,,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/06/22-dpvcg-minutes.html,,,,,,,,,,,,,,,
T3-Equality,T3 Equality,,eu-rights:EUFundamentalRights,dpv:Right,,,,,"(Charter of Fundamental Rights of the European Union,http://data.europa.eu/eli/treaty/char_2012/oj)",2022-07-14,,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/06/22-dpvcg-minutes.html,,,,,,,,,,,,,,,
A20-EqualityBeforeLaw,A20 Equality Before Law,,"eu-rights:T3-Equality,eu-rights:EUFundamentalRights",dpv:Right,,,,,"(Charter of Fundamental Rights of the European Union,http://data.europa.eu/eli/treaty/char_2012/oj)",2022-07-15,,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/06/22-dpvcg-minutes.html,,,,,,,,,,,,,,,
A21-NonDiscrimination,A21 Non Discrimination,,"eu-rights:T3-Equality,eu-rights:EUFundamentalRights",dpv:Right,,,,,"(Charter of Fundamental Rights of the European Union,http://data.europa.eu/eli/treaty/char_2012/oj)",2022-07-16,,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/06/22-dpvcg-minutes.html,,,,,,,,,,,,,,,
A22-CulturalReligiousLinguisticDiversity,A22 Cultural Religious Linguistic Diversity,,"eu-rights:T3-Equality,eu-rights:EUFundamentalRights",dpv:Right,,,,,"(Charter of Fundamental Rights of the European Union,http://data.europa.eu/eli/treaty/char_2012/oj)",2022-07-17,,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/06/22-dpvcg-minutes.html,,,,,,,,,,,,,,,
A23-EqualityBetweenWomenMen,A23 Equality Between Women Men,,"eu-rights:T3-Equality,eu-rights:EUFundamentalRights",dpv:Right,,,,,"(Charter of Fundamental Rights of the European Union,http://data.europa.eu/eli/treaty/char_2012/oj)",2022-07-18,,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/06/22-dpvcg-minutes.html,,,,,,,,,,,,,,,
A24-RightsOfChild,A24 Rights Of Child,,"eu-rights:T3-Equality,eu-rights:EUFundamentalRights",dpv:Right,,,,,"(Charter of Fundamental Rights of the European Union,http://data.europa.eu/eli/treaty/char_2012/oj)",2022-07-19,,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/06/22-dpvcg-minutes.html,,,,,,,,,,,,,,,
A25-RightsOfElderly,A25 Rights Of Elderly,,"eu-rights:T3-Equality,eu-rights:EUFundamentalRights",dpv:Right,,,,,"(Charter of Fundamental Rights of the European Union,http://data.europa.eu/eli/treaty/char_2012/oj)",2022-07-20,,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/06/22-dpvcg-minutes.html,,,,,,,,,,,,,,,
A26-IntegrationOfPersonsWithDisabilities,A26 Integration Of Persons With Disabilities,,"eu-rights:T3-Equality,eu-rights:EUFundamentalRights",dpv:Right,,,,,"(Charter of Fundamental Rights of the European Union,http://data.europa.eu/eli/treaty/char_2012/oj)",2022-07-21,,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/06/22-dpvcg-minutes.html,,,,,,,,,,,,,,,
T4-Solidarity,T4 Solidarity,,eu-rights:EUFundamentalRights,dpv:Right,,,,,"(Charter of Fundamental Rights of the European Union,http://data.europa.eu/eli/treaty/char_2012/oj)",2022-07-22,,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/06/22-dpvcg-minutes.html,,,,,,,,,,,,,,,
A27-WorkersRightToInformationConsultation,A27 Workers Right To Information Consultation,,"eu-rights:T4-Solidarity,eu-rights:EUFundamentalRights",dpv:Right,,,,,"(Charter of Fundamental Rights of the European Union,http://data.europa.eu/eli/treaty/char_2012/oj)",2022-07-23,,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/06/22-dpvcg-minutes.html,,,,,,,,,,,,,,,
A28-RightOfCollectiveBargainingAction,A28 Right Of Collective Bargaining Action,,"eu-rights:T4-Solidarity,eu-rights:EUFundamentalRights",dpv:Right,,,,,"(Charter of Fundamental Rights of the European Union,http://data.europa.eu/eli/treaty/char_2012/oj)",2022-07-24,,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/06/22-dpvcg-minutes.html,,,,,,,,,,,,,,,
A29-RightOfAccessToPlacementServices,A29 Right Of Access To Placement Services,,"eu-rights:T4-Solidarity,eu-rights:EUFundamentalRights",dpv:Right,,,,,"(Charter of Fundamental Rights of the European Union,http://data.europa.eu/eli/treaty/char_2012/oj)",2022-07-25,,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/06/22-dpvcg-minutes.html,,,,,,,,,,,,,,,
A30-ProtectionUnjustifiedDismissal,A30 Protection Unjustified Dismissal,,"eu-rights:T4-Solidarity,eu-rights:EUFundamentalRights",dpv:Right,,,,,"(Charter of Fundamental Rights of the European Union,http://data.europa.eu/eli/treaty/char_2012/oj)",2022-07-26,,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/06/22-dpvcg-minutes.html,,,,,,,,,,,,,,,
A31-FairJustWorkingConditions,A31 Fair Just Working Conditions,,"eu-rights:T4-Solidarity,eu-rights:EUFundamentalRights",dpv:Right,,,,,"(Charter of Fundamental Rights of the European Union,http://data.europa.eu/eli/treaty/char_2012/oj)",2022-07-27,,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/06/22-dpvcg-minutes.html,,,,,,,,,,,,,,,
A32-ProhibitionOfChildLabourProtectionofYoungAtWork,A32 Prohibition Of Child Labour Protectionof Young At Work,,"eu-rights:T4-Solidarity,eu-rights:EUFundamentalRights",dpv:Right,,,,,"(Charter of Fundamental Rights of the European Union,http://data.europa.eu/eli/treaty/char_2012/oj)",2022-07-28,,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/06/22-dpvcg-minutes.html,,,,,,,,,,,,,,,
A33-FamilyProfessionalLife,A33 Family Professional Life,,"eu-rights:T4-Solidarity,eu-rights:EUFundamentalRights",dpv:Right,,,,,"(Charter of Fundamental Rights of the European Union,http://data.europa.eu/eli/treaty/char_2012/oj)",2022-07-29,,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/06/22-dpvcg-minutes.html,,,,,,,,,,,,,,,
A34-SocialSecuritySocialAssistance,A34 Social Security Social Assistance,,"eu-rights:T4-Solidarity,eu-rights:EUFundamentalRights",dpv:Right,,,,,"(Charter of Fundamental Rights of the European Union,http://data.europa.eu/eli/treaty/char_2012/oj)",2022-07-30,,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/06/22-dpvcg-minutes.html,,,,,,,,,,,,,,,
A35-Healthcare,A35 Healthcare,,"eu-rights:T4-Solidarity,eu-rights:EUFundamentalRights",dpv:Right,,,,,"(Charter of Fundamental Rights of the European Union,http://data.europa.eu/eli/treaty/char_2012/oj)",2022-07-31,,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/06/22-dpvcg-minutes.html,,,,,,,,,,,,,,,
A36-AccessToServicesOfGeneralEconomicInterest,A36 Access To Services Of General Economic Interest,,"eu-rights:T4-Solidarity,eu-rights:EUFundamentalRights",dpv:Right,,,,,"(Charter of Fundamental Rights of the European Union,http://data.europa.eu/eli/treaty/char_2012/oj)",2022-08-01,,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/06/22-dpvcg-minutes.html,,,,,,,,,,,,,,,
A37-EnvironmentalProtection,A37 Environmental Protection,,"eu-rights:T4-Solidarity,eu-rights:EUFundamentalRights",dpv:Right,,,,,"(Charter of Fundamental Rights of the European Union,http://data.europa.eu/eli/treaty/char_2012/oj)",2022-08-02,,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/06/22-dpvcg-minutes.html,,,,,,,,,,,,,,,
A38-ConsumerProtection,A38 Consumer Protection,,"eu-rights:T4-Solidarity,eu-rights:EUFundamentalRights",dpv:Right,,,,,"(Charter of Fundamental Rights of the European Union,http://data.europa.eu/eli/treaty/char_2012/oj)",2022-08-03,,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/06/22-dpvcg-minutes.html,,,,,,,,,,,,,,,
T5-CitizensRights,T5 Citizens Rights,,eu-rights:EUFundamentalRights,dpv:Right,,,,,"(Charter of Fundamental Rights of the European Union,http://data.europa.eu/eli/treaty/char_2012/oj)",2022-08-04,,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/06/22-dpvcg-minutes.html,,,,,,,,,,,,,,,
