Term,Label,Definition,domain,range,ParentProperty,RelatedTerms,Relation,Usage,Source,Created,Modified,Status,Contributors,Resolution
hasEstablishment,has establishment,Indicates an establishment associated with a legal entity,dpv:LegalEntity,dpv:LegalEntity,dpv:hasEntity,,,,"GDPR Art.56, Guidelines 3/2018 on the territorial scope of the GDPR (Article 3) Version 2.1",2024-02-14,,accepted,"Harshvardhan J. Pandit, Georg P. Krog",,,,,,,,,,,,,,
hasMainEstablishment,has main establishment,Indicates the legal entity has specified establishment as its main establishment,dpv:LegalEntity,dpv:LegalEntity,dpv:hasEntity,,,,"GDPR Art.56, Guidelines 3/2018 on the territorial scope of the GDPR (Article 3) Version 2.1",2024-02-14,,accepted,"Harshvardhan J. Pandit, Georg P. Krog",,,,,,,,,,,,,,
isMainEstablishmentFor,is main establishment for,Indicates the main establishment for specific legal entity,dpv:LegalEntity,dpv:LegalEntity,dpv:hasEntity,,,,"GDPR Art.56, Guidelines 3/2018 on the territorial scope of the GDPR (Article 3) Version 2.1",2024-02-14,,accepted,"Harshvardhan J. Pandit, Georg P. Krog",,,,,,,,,,,,,,
hasLeadSA,has lead supervisory authority,Indicates the lead supervisory authority,dpv:Concept,dpv:DataProtectionAuthority,dpv:hasEntity,,,,"GDPR Art.56, Guidelines 3/2018 on the territorial scope of the GDPR (Article 3) Version 2.1",2024-02-14,,accepted,"Harshvardhan J. Pandit, Georg P. Krog",,,,,,,,,,,,,,
hasConcernedSA,has concerned supervisory authority,Indicates a concerned supervisory authority,dpv:Concept,dpv:DataProtectionAuthority,dpv:hasEntity,,,,"GDPR Art.56, Guidelines 3/2018 on the territorial scope of the GDPR (Article 3) Version 2.1",2024-02-14,,accepted,"Harshvardhan J. Pandit, Georg P. Krog",,,,,,,,,,,,,,
hasLocalSA,has local supervisory authority,Indicates the local supervisory authority,dpv:Concept,dpv:DataProtectionAuthority,dpv:hasEntity,,,,"GDPR Art.56, Guidelines 3/2018 on the territorial scope of the GDPR (Article 3) Version 2.1",2024-02-14,,accepted,"Harshvardhan J. Pandit, Georg P. Krog",,,,,,,,,,,,,,
