Term,Label,Type,Jurisdictions,Webpage,Laws,Start,End,Created,Modified,Status,Contributors,Resolution
Laws,,,,,,,,,,,,
law-DPA,Data Protection Act (DPA),dpv:Law,loc:GB,https://www.legislation.gov.uk/ukpga/2018/12/contents,,2018-05-25,,2022-07-20,2022-10-14,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/03/30-dpvcg-minutes.html
law-GDPR,General Data Protection Regulation (GDPR),dpv:Law,loc:GB,https://www.legislation.gov.uk/eur/2016/679/contents,,2019-02-28,,2022-07-20,2022-10-14,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/03/30-dpvcg-minutes.html
,,,,,,,,,,,,,,,,,,,,,,,,
Authorities,,,,,,,,,,,,,,,,,,,,,,,,
DPA-GB,Information Commissioner's Office (ICO),"dpv:DataProtectionAuthority,dpv:Authority",loc:GB,https://ico.org.uk/,"legal-gb:law-DPA,legal-gb:law-GDPR",,,2022-07-20,,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/03/30-dpvcg-minutes.html,,,,,,,,,,,,
