Term,Label,Type,Jurisdictions,Webpage,Laws,Start,End,Created,Modified,Status,Contributors,Resolution,,,,,,,,,,,,,,
Laws,,,,,,,,,,,,,,,,,,,,,,,,,,
law-PDPO,Personal Data (Privacy) Ordinance (PDPO),dpv:Law,loc:HK,https://www.elegislation.gov.hk/hk/cap486,,1996-12-20,,2025-03-19,,accepted,Arthit Suriyawongkul,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Authorities,,,,,,,,,,,,,,,,,,,,,,,,,,
DPA-HK,Office of the Privacy Commissioner for Personal Data (PCPD),dpv:DataProtectionAuthority,loc:HK,https://www.pcpd.org.hk/,legal-hk:law-PDPO,,,2025-03-19,,accepted,Arthit Suriyawongkul,,,,,,,,,,,,,,,
