Term,Label,Type,Jurisdictions,Webpage,Laws,Start,End,Created,Modified,Status,Contributors,Resolution,,,,,,,,,,,,,,
Laws,,,,,,,,,,,,,,,,,,,,,,,,,,
law-DPA,Data Privacy Act of 2012 (Republic Act No. 10173) (DPA),dpv:Law,loc:PH,https://www.officialgazette.gov.ph/2012/08/15/republic-act-no-10173/,,2012-09-08,,2025-03-19,,accepted,Arthit Suriyawongkul,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Authorities,,,,,,,,,,,,,,,,,,,,,,,,,,
DPA-PH,National Privacy Commission (NPC),dpv:DataProtectionAuthority,loc:PH,https://privacy.gov.ph/,legal-ph:law-DPA,,,2025-03-19,,accepted,Arthit Suriyawongkul,,,,,,,,,,,,,,,
