Term,Label,Definition,ParentTerm,ParentType,Value,RelatedTerms,Relation,Usage,Source,Created,Modified,Status,Contributors,Resolution
Actors involved in technologies,Actors involved in technologies,,,,,,,,,,,,,
dpv:Status,,,,,,,,,,,,,,
DevelopmentStatus,,,,,,,,,,,,,,https://www.w3.org/2022/06/15-dpvcg-minutes.html
DeploymentStatus,,,,,,,,,,,,,,
MarketAvailabilityStatus,,Status indicating whether Technology is available on the market,dpv:Status,sc,,,,,,2024-05-09,,accepted,,https://www.w3.org/2022/06/15-dpvcg-minutes.html,,,,,,,,,,,,,,,,
MarketAvailable,Market Available,Status indicating Technology is available on the market,,tech:MarketAvailabilityStatus,,,,,,2024-05-09,,accepted,,,,,,,,,,,,,,,,,,
MarketUnavailable,Market Unavailable,Status indicating Technology is unavailable on the market,,tech:MarketAvailabilityStatus,,,,,,2024-05-09,,accepted,,,,,,,,,,,,,,,,,,
ProvisionStatus,Provision Status,Status indicating whether Technology has been provided,dpv:Status,sc,,,,,,2024-05-09,,accepted,,,,,,,,,,,,,,,,,,
Provided,Provided,Status indicating Technology has been provided,,tech:ProvisionStatus,,,,,,2024-05-09,,accepted,,,,,,,,,,,,,,,,,,
NotProvided,Not Provided,Status indicating Technology has not been provided,,tech:ProvisionStatus,,,,,,2024-05-09,,accepted,,,,,,,,,,,,,,,,,,
TechnologyReadinessLevel,Technology Readiness Level (TRL),Indication of maturity of Technology (ISO 16290:2013),dpv:Concept,sc,,,,,,2024-05-09,,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/06/15-dpvcg-minutes.html,,,,,,,,,,,,,,,,
