Term,Label_EN,Label_DE,start,end,Jurisdictions,webpage,Created,Modified,Status,Contributors,Resolution
legal-gb:DPA,Data Protection Act (DPA),,2018-05-25,,loc:GB,https://www.legislation.gov.uk/ukpga/2018/12/contents,2022-07-20,2022-10-14,modified,Harshvardhan J. Pandit,https://www.w3.org/2022/03/30-dpvcg-minutes.html
legal-gb:GDPR,General Data Protection Regulation (GDPR),,2019-02-28,,loc:GB,https://www.legislation.gov.uk/eur/2016/679/contents,2022-07-20,2022-10-14,modified,Harshvardhan J. Pandit,https://www.w3.org/2022/03/30-dpvcg-minutes.html
