Term,Label,Definition,domain,range,ParentProperty,RelatedTerms,Relation,Usage,Source,CreationDate,Modified,Status,Contributors,Resolution
hasAuthority,has authority,Indicates applicability of authority for a jurisdiction,dpv:Concept,dpv:Authority,,,,,,2022-01-19,,accepted,"Harshvardhan J. Pandit, Georg P Krog",https://www.w3.org/community/dpvcg/wiki/MinutesOfMeeting_20220119,,,,,,,,,,,,,
isAuthorityFor,is authority for,"Indicates area, scope, or applicability of an Authority",dpv:Authority,dpv:Concept,,,,,,2022-01-19,,accepted,"Harshvardhan J. Pandit, Georg P Krog",https://www.w3.org/community/dpvcg/wiki/MinutesOfMeeting_20220119,,,,,,,,,,,,,
