Term,Label,Definition,ParentTerm,ParentType,Value,RelatedTerms,Relation,Usage,Source,Created,Modified,Status,Contributors,Resolution
Capability,,,,,,,,,,,,,,
ComputationalCreativity,Computational Creativity,"computer systems that emulate human creative processes and produce artistic, design output that simulates innovation and originality",ai:HumanOrientedCapability,ai:Capability,,,,,"(AI Taxonomy - EU Vocabularies,http://data.europa.eu/8s8/ai-taxonomy)",2025-12-17,,accepted,"Delaram Golpayegani, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,,,
ComputerVision,Computer Vision,"Capability of a functional unit to acquire, process and interpret data representing images or video",,ai:Capability,,,,,ISO/IEC 22989:2022 3.7.1,2024-12-01,,accepted,Delaram Golpayegani,,,,,,,,,,,,,,,,,,
ActionRecognition,Action Recognition,Capability to recognise actions,"ai:ComputerVision,ai:BiometricCapability",ai:Capability,,,,,"AI Watch, Defining Artificial Intelligence 2.0",2024-12-01,,accepted,Delaram Golpayegani,,,,,,,,,,,,,,,,,,
FaceRecognition,Face Recognition,"Capability involving automatic pattern recognition for comparing stored images of human faces with the image of an actual face, indicating any matching, if it exists, and any data, if they exist, identifying the person to whom the face belongs","ai:ComputerVision,ai:BiometricCapability",ai:Capability,,,,"EU Vocabularies' AI taxonomy defines 'Facial Recognition as ""computer vision technology employing biometric analysis and mapping of facial characteristics for facial identification purposes, recognising and verifying an individual's identity"", which not only refers to the capability for face recognition but also indicates the *purposes* for which this is being used. In DPV, such purposes are defined separately within the main DPV",ISO/IEC 22989:2022 3.7.2,2024-12-01,,accepted,Delaram Golpayegani,,,,,,,,,,,,,,,,,,
GestureRecognition,Gesture Recognition,Capability for recognising human gestures,"ai:ComputerVision,ai:BiometricCapability",ai:Capability,,,,,"AI Watch, Defining Artificial Intelligence 2.0",2024-12-01,,accepted,Delaram Golpayegani,,,,,,,,,,,,,,,,,,
ObjectRecognition,Object Recognition,Capability to recognise objects,ai:ComputerVision,ai:Capability,,,,,"AI Watch, Defining Artificial Intelligence 2.0",2024-12-01,,accepted,Delaram Golpayegani,,,,,,,,,,,,,,,,,,
ObjectDetection,Object Detection,"computer vision technology that detects instances of semantic objects in digital images and videos, covering domains like face detection and pedestrian detection, with applications spanning image retrieval and video surveillance",ai:ComputerVision,ai:Capability,,,,,"(AI Taxonomy - EU Vocabularies,http://data.europa.eu/8s8/ai-taxonomy)",2025-12-17,,accepted,"Delaram Golpayegani, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,,,
ImageRecognition,Image Recognition,"Capability for image classification process that classifies object(s), pattern(s) or concept(s) in an image",ai:ComputerVision,ai:Capability,,,,,ISO/IEC 22989:2022 3.7.4,2024-12-01,,accepted,Delaram Golpayegani,,,,,,,,,,,,,,,,,,
PerceptionBasedAI,Perception-based AI,Capability of using agents to interpret and understand information from their environment through sensory inputs,ai:ComputerVision,ai:Capability,,,,,"(AI Taxonomy - EU Vocabularies,http://data.europa.eu/8s8/ai-taxonomy)",2025-12-17,,accepted,"Delaram Golpayegani, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,,,
RemoteSensing,Remote Sensing ,"Capability for acquisition of information about an object or phenomenon without physical contact, typically using aerial sensor technologies",ai:PerceptionBasedAI,ai:Capability,,,,,"(AI Taxonomy - EU Vocabularies,http://data.europa.eu/8s8/ai-taxonomy)",2025-12-17,,accepted,"Delaram Golpayegani, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,,,
PatternRecognition,Pattern Recognition,"Capability for automated identification of patterns and regularities in data, utilising algorithms to detect patterns or regularities for categorising data into distinct groups, encompassing diverse applications such as image analysis, speech processing, and biometric authentication",ai:ComputerVision,ai:Capability,,,,,"(AI Taxonomy - EU Vocabularies,http://data.europa.eu/8s8/ai-taxonomy)",2025-12-17,,accepted,"Delaram Golpayegani, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,,,
VisualRecognition,Visual Recognition,"Capability that identifies and categorises objects, scenes, activities, and other visual elements in images or video, and includes image classification, object detection, scene understanding, and visual pattern recognition",ai:ComputerVision,ai:Capability,,,,,"(AI Taxonomy - EU Vocabularies,http://data.europa.eu/8s8/ai-taxonomy)",2025-12-17,,accepted,"Delaram Golpayegani, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,,,
MotionAnalysis,Motion Analysis,"Capability of deriving meaningful information about motion from visual data, including tracking objects across frames, analysing trajectories, estimating velocity and acceleration, and interpreting the meaning of motion patterns",ai:ComputerVision,ai:Capability,,,,,"(AI Taxonomy - EU Vocabularies,http://data.europa.eu/8s8/ai-taxonomy)",2025-12-17,,accepted,"Delaram Golpayegani, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,,,
ImageClassification,Image Classification,"Capability of categorising and labelling groups of pixels or vectors within an image based on particular rules, involving the assignment of images to predefined classes or categories",ai:ComputerVision,ai:Capability,,,,,"(AI Taxonomy - EU Vocabularies,http://data.europa.eu/8s8/ai-taxonomy)",2025-12-17,,accepted,"Delaram Golpayegani, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,,,
InformationRetrieval,Information Retrieval (IR),"Capability for retrieving relevant documents or parts of documents from a dataset, typically based on keyword or natural language queries",,ai:Capability,,,,,ISO/IEC 22989:2022 3.6.4,2024-12-01,,accepted,Delaram Golpayegani,,,,,,,,,,,,,,,,,,
MusicInformationRetrieval,Music Information Retrieval (MIR),"Capability for retrieving, analysing, and categorising music-related information such as audio files, melodies, or lyrics using audio features, metadata, and user queries",ai:InformationRetrieval,ai:Capability,,,,,"AI Watch, Defining Artificial Intelligence 2.0",2024-12-01,,accepted,Delaram Golpayegani,,,,,,,,,,,,,,,,,,
ContentBasedRetrieval,Content-based Retrieval,"Capability for retrieval of information using the actual content to identify, select, filter, and provide results",ai:InformationRetrieval,ai:Capability,,,,,,2024-12-01,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,,,
ContextAwareRetrieval,Context-aware Retrieval,"Capability for retrieval of information that takes into account the user's context such as e.g., location, time, device, or activity to provide more relevant results",ai:InformationRetrieval,ai:Capability,,,,,,2024-12-01,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,,,
MultiModalRetrieval,Multi-modal Retrieval,"Capability for retrieval of information using multiple modalities such as text, images, audio, and video and supporting cross-modal queries such as taking text as input to search images",ai:InformationRetrieval,ai:Capability,,,,,,2024-12-01,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,,,
LanguageCapability,Language Capability,Capabilities related to languages,,ai:Capability,,,,,,2024-12-01,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,,,
MachineTranslation,Machine Translation,Capability for automated translation of text or speech from one natural language to another using a computer system,ai:LanguageCapability,ai:Capability,,,,,ISO/IEC 22989:2022 3.6.5,2024-12-01,,accepted,Delaram Golpayegani,,,,,,,,,,,,,,,,,,
NamedEntityRecognition,Named Entity Recognition,Capability for recognising and labelling the denotational names of entities and their categories for sequences of words in a stream of text or speech,ai:LanguageCapability,ai:Capability,,,,,ISO/IEC 22989:2022 3.6.6,2024-12-01,,accepted,Delaram Golpayegani,,,,,,,,,,,,,,,,,,
NaturalLanguageGeneration,Natural Language Generation,Converting data carrying semantics into natural language,ai:LanguageCapability,ai:Capability,,,,,ISO/IEC 22989:2022 3.6.8,2024-12-01,,accepted,Delaram Golpayegani,,,,,,,,,,,,,,,,,,
PartOfSpeechTagging,Part Of Speech Tagging,"Capability for assigning a category (e.g. verb, noun, adjective) to a word based on its grammatical properties",ai:LanguageCapability,ai:Capability,,,,,ISO/IEC 22989:2022 3.6.13,2024-12-01,,accepted,Delaram Golpayegani,,,,,,,,,,,,,,,,,,
QuestionAnswering,Question Answering,Capability for determining the most appropriate answer to a question provided in natural language,ai:LanguageCapability,ai:Capability,,,,,ISO/IEC 22989:2022 3.6.14,2024-12-01,,accepted,Delaram Golpayegani,,,,,,,,,,,,,,,,,,
RelationshipExtraction,Relationship Extraction,Capability for identifying relationships among entities mentioned in a text,ai:LanguageCapability,ai:Capability,,,,,ISO/IEC 22989:2022 3.6.15,2024-12-01,,accepted,Delaram Golpayegani,,,,,,,,,,,,,,,,,,
SentimentAnalysis,Sentiment Analysis,"Capability for computationally identifying and categorising opinions expressed in a piece of text, speech or image, to determine a range of feeling such as from positive to negative","ai:HumanOrientedCapability,ai:LanguageCapability",ai:Capability,,,,,ISO/IEC 22989:2022 3.6.16,2024-12-01,,accepted,Delaram Golpayegani,,,,,,,,,,,,,,,,,,
AutomaticSummarisation,Automatic Summarisation,Capability for shortening a portion of content such as text while retaining important semantic information,"ai:LanguageCapability,ai:InformationRetrieval",ai:Capability,,,,,ISO/IEC 22989:2022 3.6.1,2024-12-01,,accepted,Delaram Golpayegani,,,,,,,,,,,,,,,,,,
DialogueManagement,Dialogue Management,Capability for shortening a portion of content such as text while retaining important semantic information,ai:LanguageCapability,ai:Capability,,,,,ISO/IEC 22989:2022 3.6.14,2024-12-01,,accepted,Delaram Golpayegani,,,,,,,,,,,,,,,,,,
NaturalLanguageProcessing,Natural Language Processing,Capability enabling computers to understand and communicate with human language,ai:LanguageCapability,ai:Capability,,,,,"(AI Taxonomy - EU Vocabularies,http://data.europa.eu/8s8/ai-taxonomy)",2025-12-17,,accepted,"Delaram Golpayegani, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,,,
TextDataMining,Text and Data Mining,"Capability of selecting and analysing large amounts of text or data resources to discover patterns, relationships, and semantic insights that provide valuable information for research and decision-making",ai:NaturalLanguageProcessing,ai:Capability,,,,,"(AI Taxonomy - EU Vocabularies,http://data.europa.eu/8s8/ai-taxonomy)",2025-12-17,,accepted,"Delaram Golpayegani, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,,,
TextClassification,Text Classification,Capability of assigning predefined labels to text data in order to automatically categorise it into groups,ai:NaturalLanguageProcessing,ai:Capability,,,,,"(AI Taxonomy - EU Vocabularies,http://data.europa.eu/8s8/ai-taxonomy)",2025-12-17,,accepted,"Delaram Golpayegani, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,,,
ChatbotCapability,Chatbot Capability,"Capability to simulate human-like conversation with a user through messaging platforms, websites, mobile apps, or telephone systems, often employing natural language processing and machine learning to engage in conversation mimicking human interaction",ai:NaturalLanguageProcessing,ai:Capability,,,,,"(AI Taxonomy - EU Vocabularies,http://data.europa.eu/8s8/ai-taxonomy)",2025-12-17,,accepted,"Delaram Golpayegani, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,,,
ContentGeneration,Content Generation,Capability to generate new content that is distinct from merely deriving or transforming existing content,,ai:Capability,,,,,,2024-12-01,,accepted,"Delaram Golpayegani, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,,,
AudioGeneration,Audio Generation,Capability to generate audio,"ai:ContentGeneration,ai:AudioCapability",ai:Capability,,,,,,2024-12-01,,accepted,"Delaram Golpayegani, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,,,
ImageGeneration,Image Generation,Capability to generate image,ai:ContentGeneration,ai:Capability,,,,,,2024-12-01,,accepted,"Delaram Golpayegani, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,,,
VideoGeneration,Video Generation,Capability to generate video,ai:ContentGeneration,ai:Capability,,,,,,2024-12-01,,accepted,"Delaram Golpayegani, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,,,
Proposed For v2.2,Proposed For v2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
