Term,Label,Definition,ParentTerm,ParentType,Value,RelatedTerms,Relation,Usage,Source,Created,Modified,Status,Contributors,Resolution
Technique,,,,,,,,,,,,,,
ReasoningTechnique,Reasoning Technique,Refers to reasoning techniques,,ai:Technique,,,,,,2024-12-01,,accepted,Delaram Golpayegani,,,,,,,,,,,,,,,,,,
StatisticalTechnique,Statistical Technique,Refers to techniques that are based on statistics,,ai:Technique,,,,,,2024-12-01,,accepted,Delaram Golpayegani,,,,,,,,,,,,,,,,,,
BayesianEstimation,Bayesian Estimation,Refers to Bayesian estimation approach,ai:StatisticalTechnique,ai:Technique,,,,,,2024-12-01,,accepted,Delaram Golpayegani,,,,,,,,,,,,,,,,,,
BayesianOptimisation,Bayesian Optimisation,Refers to Bayesian optimisation technique,ai:StatisticalTechnique,ai:Technique,,,,,,2024-12-01,,accepted,Delaram Golpayegani,,,,,,,,,,,,,,,,,,
BayesianNetwork,Bayesian Network,Probabilistic technique that uses Bayesian inference for probability computations using a directed acyclic graph,ai:StatisticalTechnique,ai:Technique,,,,,ISO/IEC 22989:2022 3.3.1,2024-12-01,,accepted,Delaram Golpayegani,,,,,,,,,,,,,,,,,,
OptimisationMethod,Optimisation Method,Refers to optimisation Method,ai:StatisticalTechnique,ai:Technique,,,,,,2024-12-01,,accepted,Delaram Golpayegani,,,,,,,,,,,,,,,,,,
SearchMethod,Search Method,Refers to statistical-based search Methods,ai:StatisticalTechnique,ai:Technique,,,,,,2024-12-01,,accepted,Delaram Golpayegani,,,,,,,,,,,,,,,,,,
AudioProcessing,Audio Processing,Technique involving processing audio,,ai:Technique,,,,,"(AI Watch,https://ai-watch.ec.europa.eu/);(Defining Artificial Intelligence 2.0,https://publications.jrc.ec.europa.eu/repository/handle/JRC126426)",2024-12-01,,accepted,Delaram Golpayegani,,,,,,,,,,,,,,,,,,
KnowledgeTechnique,Knowledge Technique,Techniques based on the use of knowledge bases,,ai:Technique,,,,Also known as Knowledge-based AI in the EU Vocabularies' AI Taxonomy http://data.europa.eu/8s8/ai-taxonomy,,2024-12-01,,accepted,Delaram Golpayegani,,,,,,,,,,,,,,,,,,
InductiveProgramming,Inductive Programming,An algorithm or program featuring recursive calls or repetition control structures,ai:KnowledgeTechnique,ai:Technique,,,,,,2024-12-01,,accepted,Delaram Golpayegani,,,,,,,,,,,,,,,,,,
KnowledgeRepresentation,Knowledge Representation,"Encoding knowledge in a formal language or in a form that can be used for computer-based problem solving
",ai:KnowledgeTechnique,ai:Technique,,,,,"(AI Taxonomy - EU Vocabularies,http://data.europa.eu/8s8/ai-taxonomy)",2024-12-01,2025-12-17,modified,Delaram Golpayegani,,,,,,,,,,,,,,,,,,
SymbolicReasoning,Symbolic Reasoning,Reasoning based on the knowledge encoded in a formal language,ai:KnowledgeTechnique,ai:Technique,,,,,,2024-12-01,,accepted,Delaram Golpayegani,,,,,,,,,,,,,,,,,,
LogicTechnique,Logic Technique,Refers to logic based techniques,,ai:Technique,,,,,,2024-12-01,,accepted,Delaram Golpayegani,,,,,,,,,,,,,,,,,,
RuleBasedTechnique,Rule Technique,"Artificial intelligence approach governed by human-defined rules that explicitly dictate behaviour, relying on logical statements (rules) to determine actions in specific situations",ai:KnowledgeTechnique,ai:Technique,,,,,"(AI Taxonomy - EU Vocabularies,http://data.europa.eu/8s8/ai-taxonomy)",2025-12-17,,accepted,"Delaram Golpayegani, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,,,
HeuristicProgramming,Heuristic Programming,"Pprogramming approach designed to tackle problems for which there lacks a systematic or optimized approach, frequently used in expert systems",ai:RuleBasedTechnique,ai:Technique,,,,,"(AI Taxonomy - EU Vocabularies,http://data.europa.eu/8s8/ai-taxonomy)",2025-12-17,,accepted,"Delaram Golpayegani, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,,,
Proposed for v2.2,,,,,,,,,,,,,,
Subsymbolic,,,,,,,,,,,,,,
Neurosymbolic,,,,,,,,,,,,,,
