Term,Label,Type,Jurisdictions,Webpage,Laws,Start,End,Created,Modified,Status,Contributors,Resolution,,,,,,,,,,,,,,
Laws,,,,,,,,,,,,,,,,,,,,,,,,,,
law-PDPA,Personal Data Protection Act (Act 8/2005),dpv:Law,loc:MO,https://bo.io.gov.mo/bo/i/2005/34/lei08.asp,,2006-02-19,,2025-03-19,,accepted,"Arthit Suriyawongkul, Ashley Kuong Ka Man",,,,,,,,,,,,,,,
Authorities,,,,,,,,,,,,,,,,,,,,,,,,,,
DPA-MO,Personal Data Protection Bureau (DSPDP),dpv:DataProtectionAuthority,loc:MO,https://www.dspdp.gov.mo/,legal-mo:law-PDPA,,,2025-03-19,,accepted,"Arthit Suriyawongkul, Ashley Kuong Ka Man",,,,,,,,,,,,,,,
