Term,Label,Definition,domain,range,ParentProperty,RelatedTerms,Relation,Usage,Source,CreationDate,Modified,Status,Contributors,Resolution
hasJurisdiction,has jurisdiction,Indicates applicability of specified jurisdiction,dpv:Concept,dpv:Location,,,,,,2022-01-19,,accepted,Harshvardhan J. Pandit,https://www.w3.org/community/dpvcg/wiki/MinutesOfMeeting_20220119,,,,,,,,,,,,,
hasCountry,has country,Indicates applicability of specified country,dpv:Concept,dpv:Country,dpv:hasLocation,,,,,2022-01-19,,accepted,"Harshvardhan J. Pandit, Georg P. Krog",https://www.w3.org/community/dpvcg/wiki/MinutesOfMeeting_20220119,,,,,,,,,,,,,
hasLocation,has location,Indicates information about location,dpv:Concept,dpv:Location,,,,,"(SPECIAL Project,https://specialprivacy.ercim.eu/)",2019-04-05,,accepted,"Axel Polleres, Rob Brennan, Harshvardhan J. Pandit, Mark Lizar",https://www.w3.org/2019/04/05-dpvcg-minutes.html,,,,,,,,,,,,,
hasApplicableLaw,has applicable law,Indicates applicability of a Law,dpv:Concept,dpv:Law,,,,,,2022-01-19,,accepted,Harshvardhan J. Pandit,https://www.w3.org/community/dpvcg/wiki/MinutesOfMeeting_20220119,,,,,,,,,,,,,
hasThirdCountry,has third country,Indicates applicability or relevance of a 'third country',dpv:Concept,dpv:ThirdCountry,dpv:hasCountry,,,,,2022-02-09,,accepted,"Harshvardhan J. Pandit, Georg P. Krog",https://www.w3.org/2022/02/09-dpvcg-minutes.html,,,,,,,,,,,,,
isOutsideOfLocation,is outside of location,Indicates the interpretation where the location being referenced is outside of the indicated concept,dpv:Concept,dpv:Location,dpv:hasLocation,,,"This property is helpful for cases where a distinction needs to be made between inside/outside of a concept, and the area outside of that concept is to be referenced. For example, using Home with dpv:hasLocation means inside the Home, and using this property along with Home means outside of Home - such as the yard or porch",,2025-05-04,,accepted,"Harshvardhan J. Pandit, Georg P. Krog, Julian Flake",,,,,,,,,,,,,,
hasInverseJurisdiction,has inverse jurisdiction,Indicates the inverse jurisdiction for a given jurisdiction,dpv:Jurisdiction,dpv:InverseJurisdiction,dpv:hasLocation,,,"Using this property gives the set of all other jurisdictions that are not part of the jurisdiction e.g. when used with a country, it refers to all other countries",,2025-05-04,,accepted,"Harshvardhan J. Pandit, Georg P. Krog, Julian Flake",,,,,,,,,,,,,,
