Term,Label,Definition,ParentTerm,ParentType,Value,RelatedTerms,Relation,Usage,Source,Created,Modified,Status,Contributors,Resolution
Specific instances of technologies,Specific instances of technologies,,,,,,,,,,,,,
Software,Software,Virtual parts or components of the technology such as programs and data,,dpv:Technology,,,,,,2022-06-15,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,
DataStorage,Data Storage,Technology associated with storage of data,"tech:Software,dpv:StorageLocation,dpv:ProcessingLocation","dpv:Technology,dpv:Location",,,,,,2022-06-15,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,
Database,Database,"A database, database management system (DBMS), or application database","tech:DataStorage,dpv:StorageLocation,dpv:ProcessingLocation","dpv:Technology,dpv:Location",,,,,,2022-06-15,,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/06/15-dpvcg-minutes.html,,,,,,,,,,,,,,,
CloudStorage,Cloud Storage,Storage utilising cloud technologies,"tech:DataStorage,dpv:StorageLocation,dpv:ProcessingLocation,dpv:CloudLocation","dpv:Technology,dpv:Location",,,,,,2022-06-15,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,
LocalStorage,Local Storage,Storage that is local (e.g. on device),"tech:DataStorage,dpv:ProcessingLocation,dpv:LocalLocation","dpv:Technology,dpv:Location",,,,,,2022-06-15,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,
Cookie,Cookie,A HTTP or web or internet cookie,"tech:LocalStorage,dpv:ProcessingLocation,dpv:LocalLocation","dpv:Technology,dpv:Location",,,,,,2022-06-15,,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/06/15-dpvcg-minutes.html,,,,,,,,,,,,,,,
Application,Application,Application or Application Software,"tech:Software,dpv:ProcessingLocation,dpv:LocalLocation","dpv:Technology,dpv:Location",,,,,,2022-06-15,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,
SmartphoneApplication,Smartphone Application,A computing or digital program on a smartphone device,"tech:Application,dpv:ProcessingLocation,dpv:LocalLocation","dpv:Technology,dpv:Location",,,,,,2022-06-15,,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/06/15-dpvcg-minutes.html,,,,,,,,,,,,,,,
AppStore,Application Store,An application or platform for distribution of other applications,tech:Application,dpv:Technology,,,,,,2022-06-15,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,
OS,Operating System (OS),Software for managing hardware and other software,tech:Software,dpv:Technology,,,,,,2022-06-15,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,
MSWindows,Microsoft Windows,Microsoft Windows operating system,tech:OS,dpv:Technology,,,,,,2022-06-15,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,
iOS,iOS,iOS operating system,tech:OS,dpv:Technology,,,,,,2022-06-15,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,
Android,Android,Android operating system,tech:OS,dpv:Technology,,,,,,2022-06-15,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,
GNULinux,GNU/Linux,GNU/Linux operating system,tech:OS,dpv:Technology,,,,,,2022-06-15,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,
Hardware,Hardware,Physical parts or components of the technology,,dpv:Technology,,,,,,2022-06-15,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,
