Term,Label,Type,Jurisdictions,Webpage,Laws,Start,End,Created,Modified,Status,Contributors,Resolution,,,,,,,,,,,,,,
Laws,,,,,,,,,,,,,,,,,,,,,,,,,,
law-PDPA,Personal Data Protection Act 2012 (PDPA),dpv:Law,loc:SG,https://sso.agc.gov.sg/Act/PDPA2012,,2013-01-02,,2025-03-19,,accepted,Arthit Suriyawongkul,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Authorities,,,,,,,,,,,,,,,,,,,,,,,,,,
DPA-SG,Personal Data Protection Commission (PDPC),dpv:DataProtectionAuthority,loc:SG,https://www.pdpc.gov.sg/,legal-sg:law-PDPA,,,2025-03-19,,accepted,Arthit Suriyawongkul,,,,,,,,,,,,,,,
