Term,Label,Definition,domain,range,ParentProperty,RelatedTerms,Relation,Usage,Source,CreationDate,Modified,Status,Contributors,Resolution,,,,,,,,,,,,,
hasAI,has AI,Indicates the use of AI for the associated context,,ai:AI,dpv:isImplementedUsingTechnology,,,,,2024-12-01,,accepted,Delaram Golpayegani,,,,,,,,,,,,,,
hasAISystem,has AI system,Indicates the use of AI system for the associated context,,ai:AISystem,ai:hasAI,,,,,2024-12-01,,accepted,Delaram Golpayegani,,,,,,,,,,,,,,
hasModel,has model,Indicates the use of an AI model for the associated context,,ai:Model,ai:hasAI,,,,,2024-12-01,,accepted,Delaram Golpayegani,,,,,,,,,,,,,,
hasGPAIModel,has GPAI model,Indicates the use of an GPAI model for the associated context,,ai:GPAIModel,ai:hasModel,,,,,2024-12-01,,accepted,Delaram Golpayegani,,,,,,,,,,,,,,
hasCapability,has capability,Indicates the use of AI capability for the associated context,,ai:Capability,ai:hasAI,,,,,2024-12-01,,accepted,Delaram Golpayegani,,,,,,,,,,,,,,
hasTechnique,has technique,Indicates the use of AI technique for the associated context,,ai:Technique,ai:hasAI,,,,,2024-12-01,,accepted,Delaram Golpayegani,,,,,,,,,,,,,,
hasTrainingTechnique,has training technique,Indicates the use of AI technique for training,,ai:Training,"ai:hasTechnique,dpv:hasProcessing",,,,,,,proposed,,,,,,,,,,,,,,,
