Term,Label,Definition,domain,range,ParentProperty,RelatedTerms,Relation,Usage,Source,Created,Modified,Status,Contributors,Resolution
hasPersonalData,has personal data,Indicates association with Personal Data,dpv:Concept,dpv:PersonalData,dpv:hasData,,,,,2022-01-19,,accepted,Harshvardhan J. Pandit,https://www.w3.org/community/dpvcg/wiki/MinutesOfMeeting_20220119,,,,,,,,,,,,,
hasData,has data,Indicates associated with Data (may or may not be personal),dpv:Concept,dpv:Data,dpv:Relation,,,,,2022-08-18,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,
hasUnstructuredData,has unstructured data,Indicates association with the specified unstructured data,dpv:Concept,dpv:UnstructuredData,dpv:hasData,,,,,2025-03-09,,accepted,"Rob Brennan, Harshvardhan J. Pandit",,,,,,,,,,,,,,
hasUncategorisedData,has uncategorised data,Indicates association with the specified uncategorised data,dpv:Concept,dpv:UncategorisedData,dpv:hasData,,,,,2025-03-09,,accepted,"Rob Brennan, Harshvardhan J. Pandit",,,,,,,,,,,,,,
