Term,Label,Definition,domain,range,ParentProperty,RelatedTerms,Relation,Usage,Source,CreationDate,Modified,Status,Contributors,Resolution
hasLegalBasis,has legal basis,Indicates use or applicability of a Legal Basis,dpv:Concept,dpv:LegalBasis,dpv:Relation,,,,,2019-04-04,2020-11-04,accepted,"Axel Polleres, Javier Fernández",https://www.w3.org/2019/04/05-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
isIndicatedBy,is indicated by,Specifies entity who indicates the specific context,dpv:Concept,dpv:Entity,,,,,,2022-06-21,,accepted,"Georg P. Krog, Harshvardhan J. Pandit, Paul Ryan, Julian Flake",https://www.w3.org/2022/06/22-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
hasIndicationMethod,has indication method,Specifies the method by which an entity has indicated the specific context,dpv:Concept,,,,,,,2022-06-21,,accepted,"Georg P. Krog, Harshvardhan J. Pandit, Paul Ryan, Julian Flake",https://www.w3.org/2022/06/22-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
isIndicatedAtTime,is indicated at time,Specifies the temporal information for when the entity has indicated the specific context,dpv:Concept,,,,,,,2022-06-21,,accepted,"Georg P. Krog, Harshvardhan J. Pandit, Paul Ryan, Julian Flake",https://www.w3.org/2022/06/22-dpvcg-minutes.html,,,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,





,,,,,,,,,,,,,,
