Term,Label,Definition,ParentTerm,ParentType,Value,RelatedTerms,Relation,Usage,Source,Created,Modified,Status,Contributors,Resolution,,,,,,,,,,,,,,,
ServiceData,Service Data,"Data collected, produced, or otherwise generated in the context of a Service",,dpv:PersonalData,,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
NonServiceData,Non-Service Data,"Data other than what is collected, produced, or otherwise generated in the context of a Service",,dpv:PersonalData,,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
ServiceUsageData,Service Usage Data,"Data collected, produced, or otherwise generated in the context of using a Service",,dpv:PersonalData,,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
ServiceAnalyticsData,Service Analytics Data,"Data collected, produced, or otherwise generated in the context of analysing the usage and provision of a Service",,dpv:PersonalData,,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
Definitions required?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FingerprintingData,Fingerprinting Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NonFingerprintingData,Non-Fingerprinting Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,
