Term,Label,Definition,ParentTerm,ParentType,Value,RelatedTerms,Relation,Usage,Source,Created,Modified,Status,Contributors,Resolution
CloudLocation,Cloud Location,Location that is in the 'cloud' i.e. a logical location operated over the internet,dpv:RemoteLocation,dpv:Location,,,,,,2022-06-15,2020-10-05,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/06/15-dpvcg-minutes.html,,,,,,,,,,,,,,,,,,
Location Ownership,,,,,,,,,,,,,,
PublicLocation,Public Location (deprecated),Location that is or can be accessed by the public,dpv:LocalLocation,dpv:Location,,,,"This concept will be deprecated in a future DPV release, it is suggested to use the better defined and legally aligned dpv:PublicSpace instead",,2022-10-22,2025-05-04,sunset,Georg P. Krog,,,,,,,,,,,,,,,,,,,
PrivateLocation,Private Location (deprecated),Location that is not or cannot be accessed by the public and is controlled as a private space,dpv:LocalLocation,dpv:Location,,,,"This concept will be deprecated in a future DPV release, it is suggested to use the better defined and legally aligned dpv:PrivateSpace instead",,2022-10-22,2025-05-04,sunset,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,,,,
PrivateSpace,Private Space,A space that is owned or controlled by a private entity and where access to members of the public is restricted,,dpv:Location,,,,,,2025-04-07,,accepted,"Harshvardhan J. Pandit, Georg P. Krog, Julian Flake, Arthit Suriyawongkul",,,,,,,,,,,,,,,,,,,
PersonalSpace,Personal Space,A private space associated with an individual in a personal capacity - such as their home or the space around their physical person e.g. my home or my room,dpv:PrivateSpace,dpv:Location,,,,,,2025-04-07,,accepted,"Harshvardhan J. Pandit, Georg P. Krog, Julian Flake",,,,,,,,,,,,,,,,,,,
PrivatelyOwnedSpace,Privately Owned Space,"A place that is privately owned e.g. offices, malls",dpv:PrivateSpace,dpv:Location,,,,,,2025-04-07,,accepted,"Harshvardhan J. Pandit, Georg P. Krog, Julian Flake",,,,,,,,,,,,,,,,,,,
SemiPrivateSpace,Semi Private Space,A private space that acts as a shared space with other entities but which is still essentially private for the individuals e.g. a semi-private hospital room shared with another patient,dpv:PrivateSpace,dpv:Location,,,,,,2025-04-07,,accepted,"Harshvardhan J. Pandit, Georg P. Krog, Julian Flake",,,,,,,,,,,,,,,,,,,
PrivateCommunalSpace,Private Communal Space,A space that is accessible to a group or a community within a private space and where members of the public do not have access to it e.g. society amenities such as gyms and pools,dpv:PrivateSpace,dpv:Location,,,,,,2025-04-07,,accepted,"Harshvardhan J. Pandit, Georg P. Krog, Julian Flake, Arthit Suriyawongkul",,,,,,,,,,,,,,,,,,,
PublicSpace,Public Space,Any space that is accessible to the public or is owned by the public,,dpv:Location,,,,Public space is distinct from places under (public) government ownership as such places can exclude public from accessing the place e.g. government military installations or reserved land,,2025-04-07,,accepted,"Harshvardhan J. Pandit, Georg P. Krog, Julian Flake, Arthit Suriyawongkul",,,,,,,,,,,,,,,,,,,
PubliclyAccessibleSpace,Publicly Accessible Space,"A space that is accessible to all members of the public e.g. parks, malls, train stations",dpv:PublicSpace,dpv:Location,,,,,,2025-04-07,,accepted,"Harshvardhan J. Pandit, Georg P. Krog, Julian Flake",,,,,,,,,,,,,,,,,,,
PubliclyOwnedSpace,Publicly Owned Space,"A space that is owned by the public e.g. national parks, forests",dpv:PublicSpace,dpv:Location,,,,,,2025-04-07,,accepted,"Harshvardhan J. Pandit, Georg P. Krog, Julian Flake, Arthit Suriyawongkul",,,,,,,,,,,,,,,,,,,
HybridPublicPrivateSpace,Hybrid Public Private Space,A space that is a hybrid space i.e it has both public and private components - such as by having part of it be a private space or which is operated privately,"dpv:PublicSpace,dpv:PrivateSpace",dpv:Location,,,,,,2025-04-07,,accepted,"Harshvardhan J. Pandit, Georg P. Krog, Julian Flake, Arthit Suriyawongkul",,,,,,,,,,,,,,,,,,,
PrivatelyOwnedPublicSpace,Privately Owned Public Space,"A space that is privately owned but which is accessible and usable by the public - whether freely or through a process which is open to all members of the public e.g. hotel lobby, shopping mall atriums","dpv:HybridPublicPrivateSpace,dpv:PrivatelyOwnedSpace",dpv:Location,,,,,,2025-04-07,,accepted,"Harshvardhan J. Pandit, Georg P. Krog, Julian Flake",,,,,,,,,,,,,,,,,,,
PrivatelyOperatedPublicSpace,Privately Operated Public Space,A space that is operated or managed by a private entity but which is accessible to the public e.g. a public bus station operated by a specific company,"dpv:HybridPublicPrivateSpace,dpv:PubliclyAccessibleSpace",dpv:Location,,,,,,2025-04-07,,accepted,"Harshvardhan J. Pandit, Georg P. Krog, Julian Flake",,,,,,,,,,,,,,,,,,,
