Term,Label,Definition,domain,range,ParentProperty,RelatedTerms,Relation,Usage,Source,CreationDate,Modified,Status,Contributors,Resolution
hasName,has name,Specifies name of a legal entity,dpv:Entity,dpv:Concept,dpv:Relation,,,,,2020-11-04,,accepted,"Harshvardhan J.Pandit, Georg P Krog, Paul Ryan, Beatriz Esteves",https://www.w3.org/community/dpvcg/wiki/Workshop20201104,,,,,,,,,,,,,
hasAddress,has address,Specifies address of a legal entity such as street address or pin code,dpv:Entity,dpv:Concept,dpv:Relation,,,,,2020-11-04,,accepted,"Harshvardhan J.Pandit, Georg P Krog, Paul Ryan, Beatriz Esteves",https://www.w3.org/community/dpvcg/wiki/Workshop20201104,,,,,,,,,,,,,
hasContact,has contact,Specifies contact details of a legal entity such as phone  or email,dpv:Entity,dpv:Concept,dpv:Relation,,,,,2020-11-04,,accepted,"Harshvardhan J.Pandit, Georg P Krog, Paul Ryan, Beatriz Esteves",https://www.w3.org/community/dpvcg/wiki/Workshop20201104,,,,,,,,,,,,,
hasEntity,has entity,Indicates inclusion or applicability of an entity to some concept,dpv:Concept,dpv:Entity,dpv:Relation,,,"parent property for controller, processor, data subject, authority, etc.?",,2022-02-09,,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/02/09-dpvcg-minutes.html,,,,,,,,,,,,,
hasRepresentative,has representative,Specifies representative of the legal entity,dpv:Entity,dpv:Representative,dpv:hasEntity,,,,,2020-11-04,,accepted,"Harshvardhan J.Pandit, Georg P Krog, Paul Ryan, Beatriz Esteves",https://www.w3.org/community/dpvcg/wiki/Workshop20201104,,,,,,,,,,,,,
hasResponsibleEntity,has responsible entity,Specifies the indicated entity is responsible within some context,dpv:Concept,dpv:Entity,dpv:hasEntity,,,,,2022-03-02,,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/03/02-dpvcg-minutes.html,,,,,,,,,,,,,
isRepresentativeFor,is representative for,Indicates the entity is a representative for specified entity,dpv:Representative,dpv:Entity,dpv:hasEntity,,,,,2022-11-09,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,
