Term,Label,Type,Jurisdictions,Webpage,Laws,Start,End,Created,Modified,Status,Contributors,Resolution,,,,,,,,,,,,,,
Laws,,,,,,,,,,,,,,,,,,,,,,,,,,
law-PDPA,Personal Data Protection Act 2019 (PDPA),dpv:Law,loc:TH,https://www.pdpc.or.th/1561/,,2019-05-28,,2025-03-19,,accepted,Arthit Suriyawongkul,,,,,,,,,,,,,,,
law-TDPN,Telecommunications Data Protection Notification (TDPN),dpv:Law,loc:TH,https://ratchakitcha.soc.go.th/documents/140D215S0000000002700.pdf,,2023-09-05,,2025-03-19,,accepted,Arthit Suriyawongkul,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Authorities,,,,,,,,,,,,,,,,,,,,,,,,,,
DPA-TH,Office of the Personal Data Protection Committee (PDPC),dpv:DataProtectionAuthority,loc:TH,https://pdpc.or.th/,legal-th:law-PDPA,,,2025-03-19,,accepted,Arthit Suriyawongkul,,,,,,,,,,,,,,,
CRA-TH,National Broadcasting and Telecommunications Commission (NBTC),dpv:NationalAuthority,loc:TH,https://nbtc.go.th/,legal-th:law-TDPN,,,2025-03-19,,accepted,Arthit Suriyawongkul,,,,,,,,,,,,,,,
