Term,Label,Definition,domain,range,ParentProperty,RelatedTerms,Relation,Usage,Source,CreationDate,Modified,Status,Contributors,Resolution,,,,,,,,,,,,,
hasData,has data,Associates data with an AI system or model or implementation,ai:AI,ai:Data,dpv:hasData,,,,,2024-12-01,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,
hasTrainingData,has training data,Associates the data used for training AI,ai:AI,ai:TestingData,"ai:hasData,tech:hasInputData",,,,,2024-12-01,,accepted,Delaram Golpayegani,,,,,,,,,,,,,,
hasTestingData,has testing data,Associates the data used for testing AI,ai:AI,ai:ValidationData,"ai:hasData,tech:hasInputData",,,,,2024-12-01,,accepted,Delaram Golpayegani,,,,,,,,,,,,,,
hasValidationData,has validation data,Associates the data used for validating AI,ai:AI,ai:TrainingData,"ai:hasData,tech:hasInputData",,,,,2024-12-01,,accepted,Delaram Golpayegani,,,,,,,,,,,,,,
