Term,Label,Definition,ParentTerm,ParentType,Value,RelatedTerms,Relation,Usage,Source,Created,Modified,Status,Contributors,Resolution
Forms of Surveillance with technologies,Forms of Surveillance with technologies,,,,,,,,,,,,,
OvertSurveillanceTechnology,Overt Surveillance Technology,Surveillance that is overt i.e. visible or apparent or explicit,tech:SurveillanceTechnology,dpv:Technology,,,,"For example, a CCTV with a notice",,2022-06-15,,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/06/15-dpvcg-minutes.html,,,,,,,,,,,,,,,
CovertSurveillanceTechnology,Covert SurveillanceTechnology,Surveillance that is covert i.e. invisible or non-apparent or implicit,tech:SurveillanceTechnology,dpv:Technology,,,,"For example, a web resource that performs tracking in the background",,2022-06-15,,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/06/15-dpvcg-minutes.html,,,,,,,,,,,,,,,
