Term,Label,Definition,ParentTerm,ParentType,Value,RelatedTerms,Relation,Usage,Source,Created,Modified,Status,Contributors,Resolution
SingleInformationPoint,Single Information Point,Service responsible for receiving and transmiting requests for the re-use of public data,dpv:Service,sc,,,,,,,,accepted,,,,,,,,,,,,,,,,,,
DataIntermediationService,Data Intermediation Service,"Service of data intermediation which aims to facilitate the sharing of data between Data Subjects, Data Holders and Data Users",dpv:Service,sc,,,,,DGA 2.11,,,accepted,,,,,,,,,,,,,,,,,,
DataCooperativeService,Data Cooperative Service,Service provided by a data cooperative,eu-dga:DataIntermediationService,sc,,,,,,,,accepted,,,,,,,,,,,,,,,,,,
DataIntermediationServiceBetweenHoldersUsers,Data Intermediation Service between Data Holders and Data Users,Data intermediation service for data shared between Data Holders and Data Users,eu-dga:DataIntermediationService,sc,,,,,DGA 10.a,,,accepted,,,,,,,,,,,,,,,,,,
DataIntermediationServiceBetweenSubjectsUsers,Data Intermediation Service between Data Subjects and Data Users,"Data intermediation service for data shared between Data Subjects, Natural Persons who are Data Holders and Data Users",eu-dga:DataIntermediationService,sc,,,,,DGA 10.b,,,accepted,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
