Term,Label,Type,Jurisdictions,Webpage,Laws,Start,End,Created,Modified,Status,Contributors,Resolution
Laws,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Authorities,,,,,,,,,,,,
DPA-FI,Office of the Data Protection Ombudsman,dpv:DataProtectionAuthority,loc:FI,http://www.tietosuoja.fi/,legal-eu:law-GDPR,,,2024-08-02,,accepted,,
DPA-AX,Data Inspectorate,dpv:DataProtectionAuthority,loc:AX,https://www.di.ax/,legal-eu:law-GDPR,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
