Term,Label,Definition,domain,range,ParentProperty,RelatedTerms,Relation,Usage,Source,CreationDate,Modified,Status,Contributors,Resolution,,,,,,,,,,,,,,,
hasAgreement,has agreement,Indicates the inclusion or applicability of the specified Privacy Term,,ieee-7012:Agreement,,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
hasAgreementRegistry,has agreement registry,Indicates the inclusion or applicability of the specified Privacy Term Registry,,ieee-7012:AgreementRegistry,,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
hasAgreementPreference,has privacy preference,Indicates the inclusion or applicability of the specified Privacy Preference,,ieee-7012:AgreementPreference,,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
hasAgreementNegotiation,has privacy negotiation,Indicates the inclusion or applicability of the specified Privacy Negotiation,,ieee-7012:PrivacyNegotiation,,,,,,2024-12-17,,,,,,,,,,,,,,,,,,,,
hasPrivacyNegotiationRequest,has privacy negotiation request,Indicates the inclusion or applicability of the specified Privacy Negotiation Request,,ieee-7012:PrivacyNegotiationRequest,,,,,,2024-12-17,,,,,,,,,,,,,,,,,,,,
hasEndpoint,has endpoint,"Indicates the endpoint, such as a URL or an address, where 7012 related communications and interactions can be made",,ieee-7012:Endpoint,,,,,,2024-12-17,2026-02-03,modified,,,,,,,,,,,,,,,,,
hasHumanReadableFormat,has human readable format,Indicates the specified resource is a human readable format of the subject,,xsd:anyURI,,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
hasMachineReadableFormat,has machine readable format,Indicates the specified resource is a machine readable format of the subject,,xsd:anyURI,,,,"To assist in interpreting the resource, we strongly suggest using dct:conformsTo with an appropriate URI to indicate the specific standard or specification used to express the resource",,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
