Term,Label,Definition,domain,range,ParentProperty,RelatedTerms,Relation,Usage,Source,CreationDate,Modified,Status,Contributors,Resolution,,,,,,,,,,,,,,,
hasParty,has party,Specifies that an entity is a party to the context i.e. it has decision making abilities or has obligations and responsibilities,,ieee-7012:Party,dpv:hasEntity,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,,
hasFirstParty,has first party,Specifies the human individual or Person involved as the first party,,ieee-7012:Person,dpv:hasEntity,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
hasSecondParty,has second party,Specifies the entity organisation involved as the second party,,ieee-7012:Entity,dpv:hasEntity,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
hasThirdParty,has third party,Specifies the a party other than the person or Entity that is involved,,ieee-7012:ThirdParty,dpv:hasThirdParty,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
hasAuthority,has authority,Specifies the authority that is involved,,ieee-7012:Authority,dpv:hasAuthority,,,,,2024-12-17,,,,,,,,,,,,,,,,,,,,
hasAgent,has agent,Specifies the agent that represents a party and can act on behalf,,ieee-7012:Agent,dpv:hasEntity,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
hasResponsibleParty,has responsible party,Specifies the party that is responsible for the activity,,ieee-7012:ResponsibleParty,ieee-7012:hasParty,,,,,2024-12-17,,,,,,,,,,,,,,,,,,,,
hasPrivacyAgent,has privacy agent,Specifies the agent that represents a party and can act on behalf of it to make decisions regarding privacy (and related matters),,ieee-7012:PrivacyAgent,ieee-7012:hasPartyAgent,,,Privacy Agents can be human or non-human i.e. machine agents,,2024-12-17,,,,,,,,,,,,,,,,,,,,
hasHumanDescription,has human description,A description intended for humans,,,,,,,,2025-04-09,,accepted,,,,,,,,,,,,,,,,,
