term,type,iri,label,definition,dpvtype,subclassof,hasbroader,scopenote,created,modified,vocab,namespace
External,class,https://w3id.org/dpv/v2.0/pd#External,External,Information about external characteristics that can be observed,https://w3id.org/dpv/v2.0#PersonalData,,https://w3id.org/dpv/v2.0#PersonalData,,2019-06-04,,pd,https://w3id.org/dpv/v2.0/pd
Financial,class,https://w3id.org/dpv/v2.0/pd#Financial,Financial,Information about finance including monetary characteristics and transactions,https://w3id.org/dpv/v2.0#PersonalData,,https://w3id.org/dpv/v2.0#PersonalData,,2019-06-04,,pd,https://w3id.org/dpv/v2.0/pd
Historical,class,https://w3id.org/dpv/v2.0/pd#Historical,Historical,Information about historical data related to or relevant regarding history or past events,https://w3id.org/dpv/v2.0#PersonalData,,https://w3id.org/dpv/v2.0#PersonalData,,2019-06-04,,pd,https://w3id.org/dpv/v2.0/pd
Household,class,https://w3id.org/dpv/v2.0/pd#Household,Household,Information about personal or household activities,https://w3id.org/dpv/v2.0#PersonalData,,https://w3id.org/dpv/v2.0#PersonalData,,2022-06-15,,pd,https://w3id.org/dpv/v2.0/pd
Internal,class,https://w3id.org/dpv/v2.0/pd#Internal,Internal,Information about internal characteristics that cannot be seen or observed,https://w3id.org/dpv/v2.0#PersonalData,,https://w3id.org/dpv/v2.0#PersonalData,,2019-06-04,,pd,https://w3id.org/dpv/v2.0/pd
Profile,class,https://w3id.org/dpv/v2.0/pd#Profile,Profile,Profile or user profile is information and representation of characteristics associated with person(s) or group(s),https://w3id.org/dpv/v2.0#PersonalData,,https://w3id.org/dpv/v2.0#PersonalData,,2022-06-15,,pd,https://w3id.org/dpv/v2.0/pd
Social,class,https://w3id.org/dpv/v2.0/pd#Social,Social,"Information about social aspects such as family, public life, or professional networks.",https://w3id.org/dpv/v2.0#PersonalData,,https://w3id.org/dpv/v2.0#PersonalData,,2019-06-04,,pd,https://w3id.org/dpv/v2.0/pd
Tracking,class,https://w3id.org/dpv/v2.0/pd#Tracking,Tracking,Information used to track an individual or group e.g. location or email,https://w3id.org/dpv/v2.0#PersonalData,,https://w3id.org/dpv/v2.0#PersonalData,,2019-06-04,,pd,https://w3id.org/dpv/v2.0/pd
