term,type,iri,label,definition,dpvtype,subclassof,hasbroader,scopenote,created,modified,vocab,namespace
DPA-IN,class,https://w3id.org/dpv/v2.0/legal/in#DPA-IN,Data Protection Board of India,,https://w3id.org/dpv/v2.0#DataProtectionAuthority,,https://w3id.org/dpv/v2.0#Law;https://w3id.org/dpv/v2.0#DataProtectionAuthority,,2024-02-14,,legal-in,https://w3id.org/dpv/v2.0/legal/in
law-DPDP,class,https://w3id.org/dpv/v2.0/legal/in#law-DPDP,Digital Personal Data Protection Act 2023 (DPDP),,https://w3id.org/dpv/v2.0#Law,,https://w3id.org/dpv/v2.0#Law,,2024-02-14,,legal-in,https://w3id.org/dpv/v2.0/legal/in
